name,lat,lon,category,price_tier,popularity,photo_url,tags.name,tags.tourism,tags.brand,tags.brand:wikidata,tags.shop,tags.amenity,tags.brand:pa,tags.brand:ur,tags.brand:wikipedia,tags.brand:wikipedia:pa,tags.brand:wikipedia:ur,tags.cuisine,tags.name:pa,tags.name:ur,tags.takeaway,tags.address,tags.bar,tags.ramp,tags.addr:city,tags.addr:street,tags.name:mr,tags.addr:district,tags.addr:postcode,tags.air_conditioning,tags.cinema:3D,tags.deaf:description:en,tags.description,tags.drive_in,tags.lift_gate:type,tags.open_air,tags.opening_hours,tags.operator,tags.payment:cash,tags.payment:credit_cards,tags.payment:debit_cards,tags.payment:online_payment,tags.payment:online_wallet,tags.screen,tags.website,tags.wheelchair,tags.wikimedia_commons,tags.delivery,tags.outdoor_seating,tags.source,tags.addr:country,tags.addr:state,tags.internet_access,tags.microbrewery,tags.phone,tags.smoking,tags.atm,tags.addr:housenumber,tags.internet_access:fee,tags.official_name,tags.official_name:pa,tags.official_name:ur,tags.diet:non-vegetarian,tags.diet:vegetarian,tags.place,tags.wikidata,tags.wikipedia,tags.email,tags.ele,tags.payment:app,tags.alt_name,tags.natural,tags.addr:floor,tags.check_date,tags.level,tags.name:en,tags.wifi,tags.drive_through,tags.addr:housename,tags.alt_name:es,tags.alt_name:mr,tags.alt_name:ur,tags.leisure,tags.name:ar,tags.name:azb,tags.name:be,tags.name:el,tags.name:es,tags.name:fa,tags.name:hi,tags.name:hy,tags.name:ja,tags.name:kn,tags.name:ks,tags.name:ml,tags.name:pnb,tags.name:ps,tags.name:ru,tags.name:sr,tags.name:uk,tags.population,tags.brand:ks,tags.contact:facebook,tags.addr:place,tags.check_date:opening_hours,tags.organic,tags.food,tags.castle_type,tags.historic,tags.diet:gluten_free,tags.diet:halal,tags.diet:kosher,tags.diet:vegan,tags.alt_name:en,tags.alt_name:hi,tags.alt_name:pa,tags.alt_name:pnb,tags.brand:en,tags.brand:hi,tags.brand:pnb,tags.museum,tags.operator:type,tags.branch,tags.addr:suburb,tags.diet:lacto_vegetarian,tags.capacity,tags.contact:phone,tags.contact:website,tags.diet:ovo_vegetarian,tags.fixme,tags.rooms,tags.phone_1,tags.name:gu,tags.indoor:level,tags.website:menu,tags.toilets,tags.addr:unit,tags.delivery:partner,tags.contact:instagram,tags.payment:upi,tags.brand:short,tags.payment:online_booking,tags.addr:full,tags.note,tags.payment:american_express,tags.self_service,tags.payment:google_pay,tags.payment:upi_qr,tags.reservation,tags.contact:email,tags.contact:twitter,tags.contact:youtube,tags.dog,tags.diet:chicken,tags.brewery,tags.addr:source,tags.payment:mastercard,tags.payment:visa,tags.start_date,tags.payment:paytm,tags.payment:electronic_purses,tags.access,tags.fee,tags.garden:type,tags.timing,tags.short_name,tags.short_name:ur,tags.covered,tags.diet:meat,tags.opening_hours:covid19,tags.construction,tags.name:etymology:wikidata,tags.internet_access:ssid,tags.payment:coins,tags.theatre:type,tags.currency:rupee,tags.diet:organic,tags.diet:lactose_free,tags.diet:pescetarian,tags.min_age,tags.addr:neighbourhood,tags.building,tags.indoor_seating,tags.addr:building,tags.currency:INR,tags.payment:net_banking,tags.payment:notes,tags.payment:rupay,tags.payment:contactless,tags.survey:date,tags.addr:locality,tags.highchair,tags.diet:seafood,tags.office,tags.payment:cards,tags.payment:apple_pay,tags.payment:pay_later,tags.full_name,tags.full_name:en,tags.not:brand:wikidata,tags.changing_table,tags.payment:maestro,tags.contact:linkedin,tags.contact:pinterest,tags.fast_food,tags.lgbtq,tags.becknified,tags.providerId,tags.outdoor,tags.wheelchair:ramp,tags.diet:fish,tags.diet:local,tags.established,tags.diet:sugar_free,tags.toilets:access,tags.diet:alcohol_free,tags.toilets:wheelchair,tags.mobile,tags.payment:qr_code,tags.entrance,tags.image,tags.loc_name,tags.fax,tags.layer,tags.area,tags.water,tags.building:levels,tags.height,tags.name:etymology:wikipedia,tags.designation,tags.addr:province,tags.landuse,tags.proposed,tags.barrier,tags.payment:mobikwik,tags.payment:phonepe,tags.surface,tags.building:material,tags.roof:levels,tags.roof:shape,tags.reg_name,tags.payment:mobile_wallet,tags.addr:county,tags.building:material:concrete,tags.nohousenumber,tags.diet:plant-based,tags.stroller,tags.diet:fruitarian,tags.diet:raw,tags.leaf_cycle,tags.leaf_type,tags.stars,tags.postal_code,tags.charge,tags.waterway,tags.location,tags.lit,tags.highway,tags.diet:omnivore,tags.addr:neighborhood,tags.building:levels:underground,tags.type
Stone Water Grill,18.5383533,73.9126684,restaurant,2,0.5,,Stone Water Grill,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisarg,18.5067094,73.8321992,restaurant,2,0.5,,Nisarg,,,,,restaurant,,,,,,seafood,,,yes,,,,,,निसर्ग,,,,,,,,,,,,,,,,,,,,,yes,no,local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Pizzeria,18.5396305,73.8833529,restaurant,2,0.5,,Le Pizzeria,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Kitchen,18.538908,73.8752478,restaurant,2,0.5,,Asia Kitchen,,,,,restaurant,,,,,,chinese,,,yes,,,,Pune,Boat Club Road,मेनलँड चायना,,411001,,,,,no,,,,,,,,,,,www.mainlandchina.com,no,,,no,,IN,MH,no,no,+91 20 66013030,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Spirits,18.5393901,73.9052966,bar,2,0.5,,High Spirits,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai House,18.5690389,73.8321526,restaurant,2,0.5,,Thai House,,,,,restaurant,,,,,,thai,,,,,,,,,,,,,,,,,,,Mo-Sa 12:00-22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yummy Tummy,18.5124118,73.9284574,restaurant,2,0.5,,Yummy Tummy,,,,,restaurant,,,,,,regional,,,yes,,,,Pune,Magarpatta Inner Circle,,,411013,,,,,,,,,,,,,,,,,,,,,,IN,Maharashtra,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megamart Shop,18.5459611,73.9045987,supermarket,2,0.4,,Megamart Shop,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fame,18.5062657,73.901405,cinema,2,0.4,,Fame,,,,,cinema,,,,,,,,,,,,,Pune,Vitthal Shivarkar Marg,,,,,,,,,,,,,,,,,,,http://www.famecinemas.com/,,,,,,IN,Maharashtra,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal Tastes,18.5391023,73.9061842,restaurant,2,0.5,,Seasonal Tastes,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix@36,18.5397983,73.9060086,bar,2,0.5,,Mix@36,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroma's,18.5387882,73.9052035,cafe,2,0.5,,Aroma's,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renault Fatimanagar,18.5060978,73.9014122,mall,2,0.4,,Renault Fatimanagar,,Renault,,mall,,,,,,,,,,,,,,Pune,Solapur Road,,,,,,,,,,,Mo-Su 09:00-21:00,Renault,,,,,,,,,,,,,IN,Maharashtra,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haka,18.5062169,73.9013284,restaurant,2,0.5,,Haka,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafe Coffee Day,18.5395824,73.8870419,cafe,2,0.5,,Cafe Coffee Day,,Cafe Coffee Day,Q5017235,,cafe,,,,,,coffee_shop,,,yes,,,,,,कॅफे कॉफी डे,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonald's,18.5191906,73.877407,fast_food,2,0.4,,McDonald's,,McDonald's,Q38076,,fast_food,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,en:McDonald's,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,burger,ਮੈਕਡੋਨਲਡ’ਜ਼,مکڈونلڈز,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand Oaks,18.5104212,73.8799164,restaurant,2,0.5,,Thousand Oaks,,,,,restaurant,,,,,,,,,yes,,,,Pune,East Street,,,411001,,,,,,,,,,,,,,,,1000oaksindia.com,,,,no,,IN,Maharashtra,no,,+91 20 26343194,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 East Street Cafe,18.5199422,73.8804464,restaurant,2,0.5,,11 East Street Cafe,,,,,restaurant,,,,,,,,,yes,,,,Pune,East Street,,,411001,,,,,,,,,,,,,,,,,,,,yes,,IN,Maharashtra,no,,+91 20 41045500,yes,,Virwani Plaza 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem's,18.5140857,73.8796502,restaurant,2,0.5,,Kareem's,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
